id;title;description;level;xp_reward
1;withdrawal frictionless matrices;Realigned Mouse neutral;85819;83258
2;Music Wooden Money;web-readiness Computer;60474;56997
3;Lodge Digitized SCSI;JeweleryXXXXXXXXXXXX;19762;23585
4;multi-byte;multi-tasking exuding;67703;99466
5;hack Down-sized;InvestmentXXXXXXXXXX;69886;9533
6;Markets synthesize;scalable auxiliaryXX;98540;3578
7;monitor;SDD stateXXXXXXXXXXX;78120;64991
8;Coordinator;Chicken USBXXXXXXXXX;64294;58777
9;Chair;GeorgiaXXXXXXXXXXXXX;5520;1211
10;Yemen;RepresentativeXXXXXX;33214;54920
